term,Estimate,Std. Error,t value,Pr(>|t|),field,stars
(Intercept),0.7101489937503578,0.1404334995951615,5.0568346996803415,4.2964205747999327e-7,stem,***
news_all_l,0.8143267975138062,0.038064469889963266,21.39335710881726,1.5710843136613972e-100,stem,***
cited_by_total_all_l,1.654207832498699e-5,2.135304069297724e-5,0.7746942724849245,0.43852853341974596,stem,
inferred_genderw,-0.11566399052015817,0.1470441545842448,-0.786593597325841,0.43152815043377724,stem,
alt_online_all_total_l,0.0013851497642401814,0.0012526082572316094,1.1058124168057955,0.268819625021303,stem,
alt_twitter_total_l,4.836093320510618e-5,9.66785593039286e-5,0.5002239747188806,0.6169223050359911,stem,
coa_tot_cited_by_total_l,5.986954951915844e-6,2.5623774794638293e-6,2.3364843782379006,0.019474801649263435,stem,*
coa_online_news_total_l,1.1595222617784799e-4,3.8271650380248753e-4,0.302971586084745,0.7619143359109671,stem,
coa_twitter_total_l,-7.998652550115632e-5,7.107092998284129e-5,-1.1254464451283743,0.26041198719773445,stem,
as.factor(year)2014,-0.277507572574194,0.24394463002019912,-1.1375842647211205,0.2553063179642706,stem,
as.factor(year)2015,-0.058279789005612856,0.1563747717862493,-0.3726930395478131,0.7093804523351653,stem,
as.factor(year)2016,-0.03600796203571615,0.2096739393587749,-0.17173313071636725,0.8636488933419035,stem,
as.factor(year)2017,-0.17671963212434807,0.19883151621179454,-0.8887908491132112,0.3741250623058646,stem,
as.factor(year)2018,-0.1770351379115753,0.18659553938961335,-0.9487640406125902,0.34275089532588054,stem,
as.factor(year)2019,-0.03981696341816043,0.21714614901494847,-0.1833648148898068,0.8545134451196685,stem,
as.factor(year)2020,-0.4666169064064127,0.23924734861992028,-1.950353511117494,0.05114648440804517,stem,.
as.factor(year)2021,-0.29808072818446507,0.23185384838882428,-1.2856406320441003,0.1985818326897125,stem,
as.factor(year)2022,0.46187757605902274,0.2511143006468292,1.8393121175070553,0.06588255081923117,stem,.
as.factor(year)2023,0.18681371948586967,0.4010168279410441,0.4658500752824624,0.6413273594362748,stem,
R^2,0.532,0.532,0.532,0.532,stem,
(Intercept),1.409508791757514,0.4401512430373386,3.2023283224896937,0.0013655848294210568,soc_sci,*
news_all_l,0.7885179833019189,0.08536541153972087,9.236972786513403,2.811097962789219e-20,soc_sci,***
cited_by_total_all_l,-3.212378138225366e-5,2.751096650435988e-5,-1.1676718583174004,0.24295461403999927,soc_sci,
inferred_genderw,-0.6539911422314251,0.24085364964920605,-2.7153050957871625,0.00662778707600379,soc_sci,*
alt_online_all_total_l,0.0011617873560616674,0.0023170034750630776,0.5014180464403659,0.6160830718042303,soc_sci,
alt_twitter_total_l,-3.7695231890833367e-4,2.8062261708747575e-4,-1.3432713400674685,0.17920105815210868,soc_sci,
coa_tot_cited_by_total_l,-8.897736496193077e-7,3.1160972091715166e-6,-0.2855410437776021,0.7752329486711456,soc_sci,
coa_online_news_total_l,-0.002119077547312377,0.0016173628996784483,-1.3102053643827714,0.19014308488143486,soc_sci,
coa_twitter_total_l,5.286902533078014e-4,3.483796913505187e-4,1.517569096115494,0.12914061839926297,soc_sci,
as.factor(year)2014,-0.3507271729312024,0.290164378790987,-1.2087189144048602,0.22678672485738502,soc_sci,
as.factor(year)2015,-0.16519864134601966,0.21936864290572386,-0.7530640622006111,0.4514212643961052,soc_sci,
as.factor(year)2016,0.1471801969855817,0.23176089479449896,0.6350519017286568,0.5254026346567982,soc_sci,
as.factor(year)2017,0.166982826442799,0.2268016127619015,0.7362506130769852,0.46158778697042546,soc_sci,
as.factor(year)2018,0.25424211646083905,0.459946923718304,0.5527640328703459,0.5804318619812667,soc_sci,
as.factor(year)2019,0.32363358798974795,0.3351620793769475,0.9656032346838564,0.33425572445147245,soc_sci,
as.factor(year)2020,1.140964348920756,0.32793293317522726,3.479261255871165,5.039869195746044e-4,soc_sci,***
as.factor(year)2021,1.0095176406371775,0.348677895374638,2.895272840718791,0.0037928445682085805,soc_sci,*
as.factor(year)2022,0.3682703400185108,0.35559619320602415,1.0356419642691268,0.3003831150062756,soc_sci,
as.factor(year)2023,2.9905302218244327,0.9971425091102847,2.999100123103545,0.002711483264739071,soc_sci,*
R^2,0.395,0.395,0.395,0.395,soc_sci,
(Intercept),1.24317452160458,0.4076583647987933,3.049549890183585,0.002295069602427418,medicine,*
news_all_l,0.6060800017232802,0.03924169723601256,15.444795827206821,1.757691086204074e-53,medicine,***
cited_by_total_all_l,4.35448401477864e-5,2.1905758341995544e-5,1.9878261901714929,0.04684555984949463,medicine,*
inferred_genderw,-0.4434393784942925,0.1559760828401115,-2.842995992846255,0.0044740335919997275,medicine,*
alt_online_all_total_l,-7.48712462158239e-5,0.0011663499419630862,-0.0641927808474084,0.9488174157531515,medicine,
alt_twitter_total_l,2.8350898904692412e-5,7.582588282705345e-5,0.37389474210747037,0.7084868921880478,medicine,
coa_tot_cited_by_total_l,1.8819918989581245e-6,1.077270357673562e-6,1.747000542205963,0.0806537562849701,medicine,.
coa_online_news_total_l,2.925054983066908e-4,3.5332895811770597e-4,0.8278560010052932,0.4077626819171267,medicine,
